fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,median_household_income,over_65_percent,uv_exposure,low_income_low_access_share,non_english_speaking,population_in_poverty_percent,population_over_25_no_high_school_diploma_percent,population_uninsured_percent,population_minority_percent,walkability_index,hospital_beds_per_100000,median_aqi,pesticide_mass,population
51181,497.4,198.88,145.3,17.901163960379396,38.2,,9.131338987192404,5.767699511626214,68.4,54.25,,5.0592975116944015,167.3,18.668440836763804,54844.0,22.278990555813596,4207.0,7.835080759421933,0.1,23.71884192599473,11.874903235795015,9.32032822418331,47.17448521442948,3.1653787880543938,,,59967.85,6459.0
51183,544.4,211.12,149.0,17.901163960379396,58.3,,9.131338987192404,5.767699511626214,96.0,81.61,,5.0592975116944015,159.3,18.668440836763804,,17.73790394572398,4241.0,13.799950359890792,0.7,17.70219603642207,14.28316372076415,7.355829316193536,61.53365470451705,4.886804225420338,,,108022.9,11202.0
51185,,205.28,,29.06,29.822372072040253,21.93,7.2,7.38,62.1,58.71,,7.05,,12.85,,22.24217858789835,,8.283419850037712,0.3,26.71294386058591,12.162326157132108,8.043494089949272,6.291109439091285,5.658848225566564,499.987864372224,,15077.25,41201.0
51187,,195.44,126.8,20.34,39.7,14.9,10.6,8.42,71.9,51.73,14.9,5.0592975116944015,85.7,40.35,68189.0,15.929602888086643,,5.405189620758483,1.6,16.644103489771357,8.441135178499799,10.221119133574009,13.718411552346572,6.4102131866766205,150.42117930204572,15.0,8386.25,39888.0
51191,,134.4200619587947,,15.15,29.822372072040253,14.08,13.0,5.06,68.7,46.58,16.7,4.99,,15.4,46262.0,22.90898990834182,4118.0,1.4979225891099934,0.4,20.64253309878715,10.232385890195353,8.673270993426534,4.788445514304232,5.165646558583502,259.2352559948153,,29356.8,54005.0
51193,462.8,189.1,111.0,22.36,43.5,17.24,9.131338987192404,5.767699511626214,82.5,52.01,20.4,5.0592975116944015,115.8,25.77,54268.0,25.300732949141164,4156.0,0.0,3.9,22.245845689028144,12.107648408213509,12.174788787556649,36.21104459240195,5.7483747214518655,,,56700.4,17873.0
51195,,198.81,,23.72,29.822372072040253,16.94,11.5,5.767699511626214,69.8,69.74,,5.0592975116944015,,18.668440836763804,,18.113693731594445,,8.535173212390234,0.3,29.69867480016828,16.367795540597392,10.212452671434582,8.674274295330248,5.829681827963332,223.4960033655869,,4421.05,38032.0
51197,432.9,177.85,120.6,22.69,43.2,13.57,10.4,5.767699511626214,58.7,40.97,19.5,8.12,,24.37,48043.0,21.1940818102698,4145.0,4.43988370104327,1.0,22.858137510879025,9.263707571801566,7.916449086161879,6.231505657093125,5.6062543192676575,320.27850304612707,44.0,42115.75,28725.0
51199,,134.4200619587947,129.6,24.11,29.822372072040253,,11.5,4.91,40.39309708817822,27.803400262631644,17.5,5.0592975116944015,110.4,10.75,90367.0,16.194124786149818,4187.0,2.844311377245509,3.5,8.878620830835368,3.2139671584611564,3.3002383424234893,30.05307871148869,6.566405768453282,336.3113951074003,,642.1,68389.0
51510,,134.4200619587947,118.0,20.49,29.822372072040253,,9.9,4.36,40.39309708817822,27.803400262631644,13.2,3.79,95.4,15.72,96733.0,11.637999103020045,4111.0,0.0,11.8,14.61003480534903,5.292181745826201,9.381652338148813,48.40849225249354,14.38627732867424,197.082920111933,42.0,,158309.0
51520,,244.58,,28.51,29.822372072040253,18.64,9.131338987192404,5.767699511626214,40.39309708817822,66.78,,5.0592975116944015,,34.12,,21.54874259921449,4133.0,13.843566021867115,0.2,36.29169353420482,9.824725951110851,11.178849873966822,12.445043671962011,8.440232341681291,310.6864411747465,45.0,,17059.0
51530,488.7,200.71,116.1,17.901163960379396,49.6,,9.131338987192404,5.767699511626214,63.8,39.26,,5.0592975116944015,,18.668440836763804,,18.033039987648603,4224.0,49.93984962406015,1.2,31.418866759302144,12.567546703720858,9.201790952601511,12.150687046472132,11.516929729487575,,,,6477.0
51540,,134.4200619587947,115.6,26.64,42.0,,13.2,5.767699511626214,64.7,27.803400262631644,19.7,5.0592975116944015,,23.89,58933.0,11.762712582332634,4199.0,3.988499137435308,4.9,29.070038333651016,5.822055615562192,8.024652138001144,34.40286337547917,14.398091067388908,1361.7976576233136,,,47217.0
51550,449.7,167.35,148.3,23.76,29.822372072040253,14.82,7.3,4.79,62.9,44.01,16.6,5.86,111.4,25.69,75790.0,13.22703350958388,4211.0,4.895391275780909,2.9,12.497990908603857,4.559298074981352,6.49132278577522,43.58965905203856,9.328251759098327,127.75760672911676,,75602.7,242647.0
51570,496.4,205.57,143.3,32.36,46.1,16.96,15.0,5.767699511626214,69.9,56.57,18.5,5.0592975116944015,121.4,18.668440836763804,53716.0,19.730370884684373,4231.0,5.192119924185859,3.5,16.872070821038015,5.745530289880229,7.307759069605971,28.611930799051088,8.588595843688342,,,,17283.0
51580,507.8,289.92,111.3,17.901163960379396,73.3,,9.131338987192404,5.767699511626214,89.2,73.53,,5.0592975116944015,,18.668440836763804,,19.49407394303909,4120.0,10.837107867807417,0.1,24.747921457633115,8.154961967097117,7.075888908544135,19.51176366531045,11.97136629666625,,,,5653.0
51590,452.9,181.45,133.8,27.55,48.4,22.45,12.7,5.33,68.3,49.79,14.8,5.0592975116944015,97.8,19.67,,20.674731976000785,4386.0,7.079317152479387,2.2,35.56112914330677,11.389790498672172,9.685748008262024,58.40218353496607,7.605475524961385,791.7773187764336,,,40668.0
